id,question,answer,source_block_ids,entities,intents,scenario,quality_confidence,wiki_version
qa_001,住房公积金是什么？,根据《住房公积金管理条例》，住房公积金是指本条例规定的住房储金制度，包括本条例的发布及修订历史、立法目的和总则首条（kb_001），本条例的适用范围及住房公积金的定义（kb_002），住房公积金归属权属及管理原则（kb_003），住房公积金用途限制、利率决定机制及监督管理体制（kb_004），以及住房公积金管理委员会的管理职责清单（kb_006）。,kb_001|kb_002|kb_003|kb_004|kb_006,ent_住房公积金,定义,住房公积金,0.9,1
qa_002,住房公积金的核心规定是什么？,住房公积金的核心理念是：本条例的发布及修订历史、立法目的和总则首条（kb_001），本条例的适用范围及住房公积金的定义（kb_002），住房公积金归属权属及管理原则（kb_003），住房公积金用途限制、利率决定机制及监督管理体制（kb_004），以及住房公积金管理委员会的管理职责清单（kb_006）。,kb_001|kb_002|kb_003|kb_004|kb_006,ent_住房公积金,查询标准,住房公积金,0.9,1
qa_003,住房公积金适用于什么范围？,住房公积金的适用范围包括：本条例的发布及修订历史、立法目的和总则首条（kb_001），本条例的适用范围及住房公积金的定义（kb_002），住房公积金归属权属及管理原则（kb_003），住房公积金用途限制、利率决定机制及监督管理体制（kb_004），以及住房公积金管理委员会的管理职责清单（kb_006）。,kb_001|kb_002|kb_003|kb_004|kb_006,ent_住房公积金,查询范围,住房公积金,0.9,1
qa_004,住房公积金管理中心是什么？,住房公积金管理中心是住房公积金管理体系中的重要机构，涉及住房公积金归属权属及管理原则（kb_003），住房公积金管理中心的设立原则、机构性质和层级设置（kb_007），住房公积金管理中心的具体职责及受委托银行的指定与管理（kb_008），住房公积金专户设立及单位缴存登记、账户设立与变更注销的时限要求（kb_009），以及单位录用或终止劳动关系时办理住房公积金登记的时限要求（kb_010）。,kb_003|kb_007|kb_008|kb_009|kb_010,ent_住房公积金管理中心,定义,住房公积金管理中心,0.9,1
qa_005,住房公积金管理中心负责什么？,住房公积金管理中心负责以下工作：住房公积金归属权属及管理原则（kb_003），住房公积金管理中心的设立原则、机构性质和层级设置（kb_007），住房公积金管理中心的具体职责及受委托银行的指定与管理（kb_008），住房公积金专户设立及单位缴存登记、账户设立与变更注销的时限要求（kb_009），以及单位录用或终止劳动关系时办理住房公积金登记的时限要求（kb_010）。,kb_003|kb_007|kb_008|kb_009|kb_010,ent_住房公积金管理中心,查询职责,住房公积金管理中心,0.9,1
qa_006,怎么联系住房公积金管理中心？,住房公积金管理中心的相关联系方式涉及以下业务范围：住房公积金归属权属及管理原则（kb_003），住房公积金管理中心的设立原则、机构性质和层级设置（kb_007），住房公积金管理中心的具体职责及受委托银行的指定与管理（kb_008），住房公积金专户设立及单位缴存登记、账户设立与变更注销的时限要求（kb_009），以及单位录用或终止劳动关系时办理住房公积金登记的时限要求（kb_010）。具体联系方式可向当地住房公积金管理中心咨询。,kb_003|kb_007|kb_008|kb_009|kb_010,ent_住房公积金管理中心,查询联系方式,住房公积金管理中心,0.9,1
qa_007,职工是什么？,职工是住房公积金制度中的核心主体之一，涉及本条例的适用范围及住房公积金的定义（kb_002），住房公积金归属权属及管理原则（kb_003），住房公积金用途限制、利率决定机制及监督管理体制（kb_004），住房公积金管理委员会的设立、组成结构及主任任职要求（kb_005），以及住房公积金管理中心的具体职责及受委托银行的指定与管理（kb_008）。,kb_002|kb_003|kb_004|kb_005|kb_008,ent_职工,定义,职工,0.9,1
qa_008,职工需要满足什么条件？,与职工相关的主要条件包括：本条例的适用范围及住房公积金的定义（kb_002），住房公积金归属权属及管理原则（kb_003），住房公积金用途限制、利率决定机制及监督管理体制（kb_004），住房公积金管理委员会的设立、组成结构及主任任职要求（kb_005），以及住房公积金管理中心的具体职责及受委托银行的指定与管理（kb_008）。,kb_002|kb_003|kb_004|kb_005|kb_008,ent_职工,查询条件,职工,0.9,1
qa_009,单位是什么？,单位是住房公积金制度中的缴存主体，涉及本条例的适用范围及住房公积金的定义（kb_002），住房公积金用途限制、利率决定机制及监督管理体制（kb_004），住房公积金管理委员会的设立、组成结构及主任任职要求（kb_005），住房公积金专户设立及单位缴存登记、账户设立与变更注销的时限要求（kb_009），以及单位录用或终止劳动关系时办理住房公积金登记的时限要求（kb_010）。,kb_002|kb_004|kb_005|kb_009|kb_010,ent_单位,定义,单位,0.9,1
qa_010,单位负责什么？,单位在住房公积金制度中负有以下职责：本条例的适用范围及住房公积金的定义（kb_002），住房公积金用途限制、利率决定机制及监督管理体制（kb_004），住房公积金管理委员会的设立、组成结构及主任任职要求（kb_005），住房公积金专户设立及单位缴存登记、账户设立与变更注销的时限要求（kb_009），以及单位录用或终止劳动关系时办理住房公积金登记的时限要求（kb_010）。,kb_002|kb_004|kb_005|kb_009|kb_010,ent_单位,查询职责,单位,0.9,1
